policy,n,xo,env,num_machines,lead_time_p,mttf,a,co,ce,max_batch_size,sorted_degradation,avg_cost,std_cost,avg_FR,std_FR,avg_ES,std_ES
probsp,18,91.25,Inventory,30,0.2,10,1,2,5,3,False,7.486954999998707,0.03707932341616653,0.8416817744525428,0.0033381207085481936,3.2401545454545433,0.02958037237345278
probsp,20,90.0,Inventory,30,0.2,10,1,2,10,3,False,9.22431999999829,0.09820382426360212,0.9079791805999727,0.003474829981333479,4.619268181818189,0.041303304902478626
probsp,6,56.25,Inventory,30,0.2,10,1,2,5,5,False,7.553859999998738,0.03927337393196586,0.8252909007729011,0.0034272886870155427,3.148477272727272,0.035658720086141196
probsp,0,63.75,Inventory,30,0.5,5,1,2,5,3,False,33.93105000000041,0.03207180225682898,0.009560830093060857,0.0003108848294024977,7.727272727272689e-05,4.568125282327653e-05
probsp,0,47.5,Inventory,30,0.5,5,1,2,5,5,False,26.5041549999949,0.10303569878931657,0.1355226373630904,0.0023992553107677218,0.019545454545454564,0.0015446521981414092
probsp,17,85.0,Inventory,30,0.2,10,1,2,10,5,False,9.59490999999819,0.07227851963062466,0.9093004944469427,0.0020673780365710968,5.094309090909094,0.07817790635034677
probsp,5,95,Inventory,30,0.5,5,1,2,10,3,False,60.95761999999222,0.08206761297856777,0.009578691557696695,0.0002577297335246192,0.00017727272727272663,0.0001005152017613453
probsp,0,42.5,Inventory,30,0.5,5,1,2,10,5,False,49.985879999992136,0.15570461329067115,0.13759359898426177,0.0015977623556817618,0.019499999999999993,0.0016901513453676143
probsp,13,100,Inventory,30,0.5,10,1,2,5,3,False,6.449149999998605,0.03345895993601877,0.8853719852403211,0.003748542318113647,2.819240909090908,0.03761271792341941
probsp,12,90.0,Inventory,30,0.5,10,1,2,10,3,False,7.697404999998551,0.06554354449520924,0.9461926745656235,0.00328402754108143,4.164149999999989,0.05636370619497647
probsp,3,71.25,Inventory,30,0.5,10,1,2,5,5,False,6.2015449999986405,0.03186096710710019,0.8925788870783709,0.002623404431289738,2.755513636363635,0.022040730984113112
probsp,2,63.75,Inventory,30,0.5,10,1,2,10,5,False,7.362204999998456,0.053255344567474466,0.9336588182560523,0.0014300744807540203,3.5625818181818167,0.021466308408624114
dqn,0,0,Inventory,1,0.2,5,1,2,5,5,False,1.0116800000000037,0.009364806458223095,0.44704863445877663,0.008589741982197956,0.14768636363636367,0.005047397250887382
dqn,0,0,Inventory,1,0.2,5,1,2,5,3,False,1.014139999999954,0.006174617397051723,0.5909556313153852,0.005713583139357263,0.2780954545454543,0.004598843278926029
dqn,0,0,Inventory,1,0.2,5,1,2,10,3,False,1.3808299999998188,0.012428740885541138,0.594760870922314,0.0051243070624737135,0.27727272727272745,0.0033676879775366123
dqn,0,0,Inventory,1,0.2,5,1,2,10,5,False,1.3702799999998183,0.010862854136916738,0.5979938235283545,0.006649072471731591,0.28094090909090863,0.005118111173417631
dqn,0,0,Inventory,1,0.5,5,1,2,5,3,False,0.8863649999999563,0.005302973222636236,0.7938882103549542,0.004254715949538081,0.33668636363636356,0.003678643412370158
dqn,0,0,Inventory,1,0.5,5,1,2,5,5,False,0.8630699999999936,0.005024698995960503,0.692136585755484,0.0058950292885038376,0.21962727272727273,0.0035083607342065314
dqn,0,0,Inventory,1,0.5,5,1,2,10,3,False,1.0882999999999066,0.014669730740536699,0.7764136425497411,0.007163568940438205,0.3147954545454541,0.0037424441785755057
dqn,0,0,Inventory,1,0.5,5,1,2,10,5,False,1.0520299999998572,0.005958363869383232,0.8937295146235682,0.0029379845626458265,0.49289545454545447,0.0046587272585355225
dqn,0,0,Inventory,2,0.2,5,1,2,5,3,False,1.7310399999997632,0.009290312158371505,0.4086027903666693,0.0049398655448052615,0.2723363636363635,0.00314006369362107
